id,pc1,pc2,省份
0,3.5794225104474795,-0.15356380458069785,北京
1,1.6465718812876449,1.3317725138344694,天津
2,-0.9739008458168295,-1.0681272455823438,河北
3,-1.09763966794592,-0.408045366927941,山西
4,0.07030767203677951,-0.06148594039012169,内蒙古
5,-0.40512996728334616,0.0953877114023491,辽宁
6,-0.5916141628970292,1.0449356639528682,吉林
7,-0.803338321873201,0.7488193112791406,黑龙江
8,3.585237210155574,-1.053953426973885,上海
9,0.6096060167191182,-1.8335096564559372,江苏
10,2.2575706195769594,-1.639606960364107,浙江
11,-1.1855379598105886,-2.6526999549576655,安徽
12,0.8847660647950827,-0.5648833713890022,福建
13,-1.262907380179693,-0.890901149314123,江西
14,-0.6814200100454813,-0.9734269499496959,山东
15,-2.4676106808748046,-2.203128404132802,河南
16,-1.4736639622925205,-0.7722506719831935,湖北
17,-0.8944941309839518,-1.50240905684022,湖南
18,5.5780256320900765,-1.58182475570098,广东
19,-1.164270650667423,0.0861000576939751,广西
20,0.7197736770493647,3.8437628750563215,海南
21,-1.2910856385786436,1.0819721196811452,重庆
22,-1.6222523723850637,-1.2289765784998279,四川
23,-1.478938689196761,0.24609059992745502,贵州
24,-0.3764292561288077,2.371171302997471,云南
25,0.33792878877973753,3.372904046737704,西藏
26,-0.14990865029011435,-0.33858850725949613,陕西
27,-1.8682259509359742,0.8113142725240116,甘肃
28,-0.1456028111241006,1.0195872028654536,青海
29,-0.2652082844620087,0.8404743528440908,宁夏
30,0.9299693208344447,2.033089770505581,新疆
